fia_code;common_name;plants_code;trait;value
403;pignut hickory;CAGL8;Commercial Availability;Contracting Only
403;pignut hickory;CAGL8;Fruit/Seed Abundance;Medium
403;pignut hickory;CAGL8;Fruit/Seed Period Begin;Summer
403;pignut hickory;CAGL8;Fruit/Seed Period End;Fall
403;pignut hickory;CAGL8;Fruit/Seed Persistence;No
403;pignut hickory;CAGL8;Propagated by Bare Root;Yes
403;pignut hickory;CAGL8;Propagated by Bulb;No
403;pignut hickory;CAGL8;Propagated by Container;Yes
403;pignut hickory;CAGL8;Propagated by Corm;No
403;pignut hickory;CAGL8;Propagated by Cuttings;No
403;pignut hickory;CAGL8;Propagated by Seed;Yes
403;pignut hickory;CAGL8;Propagated by Sod;No
403;pignut hickory;CAGL8;Propagated by Sprigs;No
403;pignut hickory;CAGL8;Propagated by Tubers;No
403;pignut hickory;CAGL8;Seed per Pound;200
403;pignut hickory;CAGL8;Seed Spread Rate;Slow
403;pignut hickory;CAGL8;Seedling Vigor;Low
403;pignut hickory;CAGL8;Small Grain;No
403;pignut hickory;CAGL8;Vegetative Spread Rate;None
403;pignut hickory;CAGL8;Berry/Nut/Seed Product;No
403;pignut hickory;CAGL8;Christmas Tree Product;No
403;pignut hickory;CAGL8;Fodder Product;No
403;pignut hickory;CAGL8;Fuelwood Product;High
403;pignut hickory;CAGL8;Lumber Product;Yes
403;pignut hickory;CAGL8;Naval Store Product;Yes
403;pignut hickory;CAGL8;Nursery Stock Product;No
403;pignut hickory;CAGL8;Palatable Browse Animal;Low
403;pignut hickory;CAGL8;Palatable Graze Animal;Low
403;pignut hickory;CAGL8;Palatable Human;Yes
403;pignut hickory;CAGL8;Post Product;No
403;pignut hickory;CAGL8;Protein Potential;Low
403;pignut hickory;CAGL8;Pulpwood Product;No
403;pignut hickory;CAGL8;Veneer Product;Yes
404;pecan;CAIL2;Active Growth Period;Spring and Summer
404;pecan;CAIL2;Bloat;None
404;pecan;CAIL2;C:N Ratio;High
404;pecan;CAIL2;Coppice Potential;No
404;pecan;CAIL2;Fall Conspicuous;No
404;pecan;CAIL2;Fire Resistant;No
404;pecan;CAIL2;Flower Color;Yellow
404;pecan;CAIL2;Flower Conspicuous;No
404;pecan;CAIL2;Foliage Color;Yellow-Green
404;pecan;CAIL2;Foliage Porosity Summer;Dense
404;pecan;CAIL2;Foliage Porosity Winter;Porous
404;pecan;CAIL2;Foliage Texture;Fine
404;pecan;CAIL2;Fruit/Seed Color;Brown
404;pecan;CAIL2;Fruit/Seed Conspicuous;Yes
404;pecan;CAIL2;Growth Form;Single Stem
404;pecan;CAIL2;Growth Rate;Slow
404;pecan;CAIL2;Height at 20 Years, Maximum (feet);35
404;pecan;CAIL2;Height, Mature (feet);120.0
404;pecan;CAIL2;Known Allelopath;No
404;pecan;CAIL2;Leaf Retention;No
404;pecan;CAIL2;Lifespan;Long
404;pecan;CAIL2;Low Growing Grass;No
404;pecan;CAIL2;Nitrogen Fixation;None
404;pecan;CAIL2;Resprout Ability;Yes
404;pecan;CAIL2;Shape and Orientation;Erect
404;pecan;CAIL2;Toxicity;None
404;pecan;CAIL2;Adapted to Coarse Textured Soils;Yes
404;pecan;CAIL2;Adapted to Fine Textured Soils;Yes
404;pecan;CAIL2;Adapted to Medium Textured Soils;Yes
404;pecan;CAIL2;Anaerobic Tolerance;None
404;pecan;CAIL2;CaCO3 Tolerance;Low
404;pecan;CAIL2;Cold Stratification Required;Yes
404;pecan;CAIL2;Drought Tolerance;Low
404;pecan;CAIL2;Fertility Requirement;High
404;pecan;CAIL2;Fire Tolerance;Low
404;pecan;CAIL2;Frost Free Days, Minimum;180
404;pecan;CAIL2;Hedge Tolerance;Low
404;pecan;CAIL2;Moisture Use;High
404;pecan;CAIL2;pH, Maximum;7.5
404;pecan;CAIL2;pH, Minimum;4.5
404;pecan;CAIL2;Planting Density per Acre, Maximum;700
404;pecan;CAIL2;Planting Density per Acre, Minimum;300
404;pecan;CAIL2;Precipitation, Maximum;79
404;pecan;CAIL2;Precipitation, Minimum;28
404;pecan;CAIL2;Root Depth, Minimum (inches);32
404;pecan;CAIL2;Salinity Tolerance;None
404;pecan;CAIL2;Shade Tolerance;Intolerant
404;pecan;CAIL2;Temperature, Minimum (°F);-21
404;pecan;CAIL2;Bloom Period;Early Spring
404;pecan;CAIL2;Commercial Availability;Routinely Available
404;pecan;CAIL2;Fruit/Seed Abundance;High
404;pecan;CAIL2;Fruit/Seed Period Begin;Summer
404;pecan;CAIL2;Fruit/Seed Period End;Fall
404;pecan;CAIL2;Fruit/Seed Persistence;No
404;pecan;CAIL2;Propagated by Bare Root;Yes
404;pecan;CAIL2;Propagated by Bulb;No
404;pecan;CAIL2;Propagated by Container;Yes
404;pecan;CAIL2;Propagated by Corm;No
404;pecan;CAIL2;Propagated by Cuttings;Yes
404;pecan;CAIL2;Propagated by Seed;Yes
404;pecan;CAIL2;Propagated by Sod;No
404;pecan;CAIL2;Propagated by Sprigs;No
404;pecan;CAIL2;Propagated by Tubers;No
404;pecan;CAIL2;Seed per Pound;130
404;pecan;CAIL2;Seed Spread Rate;Slow
404;pecan;CAIL2;Seedling Vigor;Medium
404;pecan;CAIL2;Small Grain;No
404;pecan;CAIL2;Vegetative Spread Rate;Slow
404;pecan;CAIL2;Berry/Nut/Seed Product;Yes
404;pecan;CAIL2;Christmas Tree Product;No
404;pecan;CAIL2;Fodder Product;No
404;pecan;CAIL2;Fuelwood Product;High
404;pecan;CAIL2;Lumber Product;Yes
404;pecan;CAIL2;Naval Store Product;No
404;pecan;CAIL2;Nursery Stock Product;Yes
404;pecan;CAIL2;Palatable Browse Animal;Low
404;pecan;CAIL2;Palatable Graze Animal;Low
404;pecan;CAIL2;Palatable Human;Yes
404;pecan;CAIL2;Post Product;No
404;pecan;CAIL2;Protein Potential;Low
404;pecan;CAIL2;Pulpwood Product;No
404;pecan;CAIL2;Veneer Product;Yes
405;shellbark hickory;CALA21;Active Growth Period;Spring and Summer
405;shellbark hickory;CALA21;Bloat;None
405;shellbark hickory;CALA21;C:N Ratio;High
405;shellbark hickory;CALA21;Coppice Potential;Yes
405;shellbark hickory;CALA21;Fall Conspicuous;No
405;shellbark hickory;CALA21;Fire Resistant;No
405;shellbark hickory;CALA21;Flower Color;Yellow
405;shellbark hickory;CALA21;Flower Conspicuous;No
405;shellbark hickory;CALA21;Foliage Color;Green
405;shellbark hickory;CALA21;Foliage Porosity Summer;Dense
405;shellbark hickory;CALA21;Foliage Porosity Winter;Porous
405;shellbark hickory;CALA21;Foliage Texture;Coarse
405;shellbark hickory;CALA21;Fruit/Seed Color;Brown
405;shellbark hickory;CALA21;Fruit/Seed Conspicuous;Yes
405;shellbark hickory;CALA21;Growth Form;Single Stem
405;shellbark hickory;CALA21;Growth Rate;Slow
405;shellbark hickory;CALA21;Height at 20 Years, Maximum (feet);35
405;shellbark hickory;CALA21;Height, Mature (feet);100.0
405;shellbark hickory;CALA21;Known Allelopath;No
405;shellbark hickory;CALA21;Leaf Retention;No
405;shellbark hickory;CALA21;Lifespan;Long
405;shellbark hickory;CALA21;Low Growing Grass;No
405;shellbark hickory;CALA21;Nitrogen Fixation;None
405;shellbark hickory;CALA21;Resprout Ability;Yes
405;shellbark hickory;CALA21;Shape and Orientation;Erect
405;shellbark hickory;CALA21;Toxicity;None
405;shellbark hickory;CALA21;Adapted to Coarse Textured Soils;Yes
405;shellbark hickory;CALA21;Adapted to Fine Textured Soils;No
405;shellbark hickory;CALA21;Adapted to Medium Textured Soils;Yes
405;shellbark hickory;CALA21;Anaerobic Tolerance;Low
405;shellbark hickory;CALA21;CaCO3 Tolerance;High
405;shellbark hickory;CALA21;Cold Stratification Required;Yes
405;shellbark hickory;CALA21;Drought Tolerance;Low
405;shellbark hickory;CALA21;Fertility Requirement;High
405;shellbark hickory;CALA21;Fire Tolerance;Medium
405;shellbark hickory;CALA21;Frost Free Days, Minimum;150
405;shellbark hickory;CALA21;Hedge Tolerance;None
405;shellbark hickory;CALA21;Moisture Use;High
405;shellbark hickory;CALA21;pH, Maximum;6.6
405;shellbark hickory;CALA21;pH, Minimum;5.0
405;shellbark hickory;CALA21;Planting Density per Acre, Maximum;700
405;shellbark hickory;CALA21;Planting Density per Acre, Minimum;170
405;shellbark hickory;CALA21;Precipitation, Maximum;60
405;shellbark hickory;CALA21;Precipitation, Minimum;30
405;shellbark hickory;CALA21;Root Depth, Minimum (inches);60
405;shellbark hickory;CALA21;Salinity Tolerance;None
405;shellbark hickory;CALA21;Shade Tolerance;Tolerant
405;shellbark hickory;CALA21;Temperature, Minimum (°F);-22
405;shellbark hickory;CALA21;Bloom Period;Mid Spring
405;shellbark hickory;CALA21;Commercial Availability;Routinely Available
405;shellbark hickory;CALA21;Fruit/Seed Abundance;Low
405;shellbark hickory;CALA21;Fruit/Seed Period Begin;Summer
405;shellbark hickory;CALA21;Fruit/Seed Period End;Fall
405;shellbark hickory;CALA21;Fruit/Seed Persistence;No
405;shellbark hickory;CALA21;Propagated by Bare Root;Yes
405;shellbark hickory;CALA21;Propagated by Bulb;No
405;shellbark hickory;CALA21;Propagated by Container;Yes
405;shellbark hickory;CALA21;Propagated by Corm;No
405;shellbark hickory;CALA21;Propagated by Cuttings;No
405;shellbark hickory;CALA21;Propagated by Seed;Yes
405;shellbark hickory;CALA21;Propagated by Sod;No
405;shellbark hickory;CALA21;Propagated by Sprigs;No
405;shellbark hickory;CALA21;Propagated by Tubers;No
405;shellbark hickory;CALA21;Seed per Pound;30
405;shellbark hickory;CALA21;Seed Spread Rate;Slow
405;shellbark hickory;CALA21;Seedling Vigor;Low
405;shellbark hickory;CALA21;Small Grain;No
405;shellbark hickory;CALA21;Vegetative Spread Rate;None
405;shellbark hickory;CALA21;Berry/Nut/Seed Product;Yes
405;shellbark hickory;CALA21;Christmas Tree Product;No
405;shellbark hickory;CALA21;Fodder Product;No
405;shellbark hickory;CALA21;Fuelwood Product;High
405;shellbark hickory;CALA21;Lumber Product;Yes
405;shellbark hickory;CALA21;Naval Store Product;Yes
405;shellbark hickory;CALA21;Nursery Stock Product;No
405;shellbark hickory;CALA21;Palatable Browse Animal;Low
405;shellbark hickory;CALA21;Palatable Graze Animal;Low
405;shellbark hickory;CALA21;Palatable Human;Yes
405;shellbark hickory;CALA21;Post Product;No
405;shellbark hickory;CALA21;Protein Potential;Low
405;shellbark hickory;CALA21;Pulpwood Product;No
405;shellbark hickory;CALA21;Veneer Product;Yes
406;nutmeg hickory;CAMY;Active Growth Period;Spring and Summer
406;nutmeg hickory;CAMY;Bloat;None
406;nutmeg hickory;CAMY;C:N Ratio;High
406;nutmeg hickory;CAMY;Coppice Potential;No
406;nutmeg hickory;CAMY;Fall Conspicuous;Yes
406;nutmeg hickory;CAMY;Fire Resistant;No
406;nutmeg hickory;CAMY;Flower Color;Yellow
406;nutmeg hickory;CAMY;Flower Conspicuous;No
406;nutmeg hickory;CAMY;Foliage Color;Green
406;nutmeg hickory;CAMY;Foliage Porosity Summer;Moderate
406;nutmeg hickory;CAMY;Foliage Porosity Winter;Porous
406;nutmeg hickory;CAMY;Foliage Texture;Coarse
406;nutmeg hickory;CAMY;Fruit/Seed Color;Brown
406;nutmeg hickory;CAMY;Fruit/Seed Conspicuous;Yes
406;nutmeg hickory;CAMY;Growth Form;Single Stem
406;nutmeg hickory;CAMY;Growth Rate;Slow
406;nutmeg hickory;CAMY;Height at 20 Years, Maximum (feet);30
406;nutmeg hickory;CAMY;Height, Mature (feet);95.0
406;nutmeg hickory;CAMY;Known Allelopath;No
406;nutmeg hickory;CAMY;Leaf Retention;No
406;nutmeg hickory;CAMY;Lifespan;Moderate
406;nutmeg hickory;CAMY;Low Growing Grass;No
406;nutmeg hickory;CAMY;Nitrogen Fixation;None
406;nutmeg hickory;CAMY;Resprout Ability;Yes
406;nutmeg hickory;CAMY;Shape and Orientation;Erect
406;nutmeg hickory;CAMY;Toxicity;None
406;nutmeg hickory;CAMY;Adapted to Coarse Textured Soils;No
406;nutmeg hickory;CAMY;Adapted to Fine Textured Soils;Yes
406;nutmeg hickory;CAMY;Adapted to Medium Textured Soils;Yes
406;nutmeg hickory;CAMY;Anaerobic Tolerance;Low
406;nutmeg hickory;CAMY;CaCO3 Tolerance;Low
406;nutmeg hickory;CAMY;Cold Stratification Required;Yes
406;nutmeg hickory;CAMY;Drought Tolerance;Low
406;nutmeg hickory;CAMY;Fertility Requirement;Medium
406;nutmeg hickory;CAMY;Fire Tolerance;Low
406;nutmeg hickory;CAMY;Frost Free Days, Minimum;240
406;nutmeg hickory;CAMY;Hedge Tolerance;None
406;nutmeg hickory;CAMY;Moisture Use;Medium
406;nutmeg hickory;CAMY;pH, Maximum;6.5
406;nutmeg hickory;CAMY;pH, Minimum;4.7
406;nutmeg hickory;CAMY;Planting Density per Acre, Maximum;700
406;nutmeg hickory;CAMY;Planting Density per Acre, Minimum;300
406;nutmeg hickory;CAMY;Precipitation, Maximum;60
406;nutmeg hickory;CAMY;Precipitation, Minimum;40
406;nutmeg hickory;CAMY;Root Depth, Minimum (inches);48
406;nutmeg hickory;CAMY;Salinity Tolerance;None
406;nutmeg hickory;CAMY;Shade Tolerance;Intolerant
406;nutmeg hickory;CAMY;Temperature, Minimum (°F);-10
406;nutmeg hickory;CAMY;Bloom Period;Mid Spring
406;nutmeg hickory;CAMY;Commercial Availability;Routinely Available
406;nutmeg hickory;CAMY;Fruit/Seed Abundance;Medium
406;nutmeg hickory;CAMY;Fruit/Seed Period Begin;Summer
406;nutmeg hickory;CAMY;Fruit/Seed Period End;Fall
406;nutmeg hickory;CAMY;Fruit/Seed Persistence;No
406;nutmeg hickory;CAMY;Propagated by Bare Root;Yes
406;nutmeg hickory;CAMY;Propagated by Bulb;No
406;nutmeg hickory;CAMY;Propagated by Container;Yes
406;nutmeg hickory;CAMY;Propagated by Corm;No
406;nutmeg hickory;CAMY;Propagated by Cuttings;No
406;nutmeg hickory;CAMY;Propagated by Seed;Yes
406;nutmeg hickory;CAMY;Propagated by Sod;No
406;nutmeg hickory;CAMY;Propagated by Sprigs;No
406;nutmeg hickory;CAMY;Propagated by Tubers;No
406;nutmeg hickory;CAMY;Seed per Pound;124
406;nutmeg hickory;CAMY;Seed Spread Rate;Slow
406;nutmeg hickory;CAMY;Seedling Vigor;High
406;nutmeg hickory;CAMY;Small Grain;No
406;nutmeg hickory;CAMY;Vegetative Spread Rate;None
406;nutmeg hickory;CAMY;Berry/Nut/Seed Product;Yes
406;nutmeg hickory;CAMY;Christmas Tree Product;No
406;nutmeg hickory;CAMY;Fodder Product;No
406;nutmeg hickory;CAMY;Fuelwood Product;High
406;nutmeg hickory;CAMY;Lumber Product;Yes
406;nutmeg hickory;CAMY;Naval Store Product;Yes
406;nutmeg hickory;CAMY;Nursery Stock Product;No
406;nutmeg hickory;CAMY;Palatable Browse Animal;Low
406;nutmeg hickory;CAMY;Palatable Human;Yes
406;nutmeg hickory;CAMY;Post Product;No
406;nutmeg hickory;CAMY;Pulpwood Product;Yes
406;nutmeg hickory;CAMY;Veneer Product;No
412;red hickory;CAOV3;NA;NA
407;shagbark hickory;CAOV2;Active Growth Period;Spring and Summer
407;shagbark hickory;CAOV2;Bloat;None
407;shagbark hickory;CAOV2;C:N Ratio;High
407;shagbark hickory;CAOV2;Coppice Potential;No
407;shagbark hickory;CAOV2;Fall Conspicuous;Yes
407;shagbark hickory;CAOV2;Fire Resistant;No
407;shagbark hickory;CAOV2;Flower Color;Yellow
407;shagbark hickory;CAOV2;Flower Conspicuous;Yes
407;shagbark hickory;CAOV2;Foliage Color;Green
407;shagbark hickory;CAOV2;Foliage Porosity Summer;Moderate
407;shagbark hickory;CAOV2;Foliage Porosity Winter;Porous
407;shagbark hickory;CAOV2;Foliage Texture;Coarse
407;shagbark hickory;CAOV2;Fruit/Seed Color;Brown
407;shagbark hickory;CAOV2;Fruit/Seed Conspicuous;Yes
407;shagbark hickory;CAOV2;Growth Form;Single Stem
407;shagbark hickory;CAOV2;Growth Rate;Slow
407;shagbark hickory;CAOV2;Height at 20 Years, Maximum (feet);15
407;shagbark hickory;CAOV2;Height, Mature (feet);75.0
407;shagbark hickory;CAOV2;Known Allelopath;No
407;shagbark hickory;CAOV2;Leaf Retention;No
407;shagbark hickory;CAOV2;Lifespan;Long
407;shagbark hickory;CAOV2;Low Growing Grass;No
407;shagbark hickory;CAOV2;Nitrogen Fixation;None
407;shagbark hickory;CAOV2;Resprout Ability;Yes
407;shagbark hickory;CAOV2;Shape and Orientation;Erect
407;shagbark hickory;CAOV2;Toxicity;None
407;shagbark hickory;CAOV2;Adapted to Coarse Textured Soils;Yes
407;shagbark hickory;CAOV2;Adapted to Fine Textured Soils;Yes
407;shagbark hickory;CAOV2;Adapted to Medium Textured Soils;Yes
407;shagbark hickory;CAOV2;Anaerobic Tolerance;None
407;shagbark hickory;CAOV2;CaCO3 Tolerance;Medium
407;shagbark hickory;CAOV2;Cold Stratification Required;Yes
407;shagbark hickory;CAOV2;Drought Tolerance;Medium
407;shagbark hickory;CAOV2;Fertility Requirement;Medium
407;shagbark hickory;CAOV2;Fire Tolerance;Medium
407;shagbark hickory;CAOV2;Frost Free Days, Minimum;140
407;shagbark hickory;CAOV2;Hedge Tolerance;None
407;shagbark hickory;CAOV2;Moisture Use;Medium
407;shagbark hickory;CAOV2;pH, Maximum;7.3
407;shagbark hickory;CAOV2;pH, Minimum;4.0
407;shagbark hickory;CAOV2;Planting Density per Acre, Maximum;700
407;shagbark hickory;CAOV2;Planting Density per Acre, Minimum;300
407;shagbark hickory;CAOV2;Precipitation, Maximum;80
407;shagbark hickory;CAOV2;Precipitation, Minimum;29
407;shagbark hickory;CAOV2;Root Depth, Minimum (inches);48
407;shagbark hickory;CAOV2;Salinity Tolerance;Low
407;shagbark hickory;CAOV2;Shade Tolerance;Intermediate
407;shagbark hickory;CAOV2;Temperature, Minimum (°F);-40
407;shagbark hickory;CAOV2;Bloom Period;Late Spring
407;shagbark hickory;CAOV2;Commercial Availability;Routinely Available
407;shagbark hickory;CAOV2;Fruit/Seed Abundance;Medium
407;shagbark hickory;CAOV2;Fruit/Seed Period Begin;Summer
407;shagbark hickory;CAOV2;Fruit/Seed Period End;Fall
407;shagbark hickory;CAOV2;Fruit/Seed Persistence;No
407;shagbark hickory;CAOV2;Propagated by Bare Root;Yes
407;shagbark hickory;CAOV2;Propagated by Bulb;No
407;shagbark hickory;CAOV2;Propagated by Container;Yes
407;shagbark hickory;CAOV2;Propagated by Corm;No
407;shagbark hickory;CAOV2;Propagated by Cuttings;No
407;shagbark hickory;CAOV2;Propagated by Seed;Yes
407;shagbark hickory;CAOV2;Propagated by Sod;No
407;shagbark hickory;CAOV2;Propagated by Sprigs;No
407;shagbark hickory;CAOV2;Propagated by Tubers;No
407;shagbark hickory;CAOV2;Seed per Pound;96
407;shagbark hickory;CAOV2;Seed Spread Rate;Slow
407;shagbark hickory;CAOV2;Seedling Vigor;High
407;shagbark hickory;CAOV2;Small Grain;No
407;shagbark hickory;CAOV2;Vegetative Spread Rate;None
407;shagbark hickory;CAOV2;Berry/Nut/Seed Product;Yes
407;shagbark hickory;CAOV2;Christmas Tree Product;No
407;shagbark hickory;CAOV2;Fodder Product;No
407;shagbark hickory;CAOV2;Fuelwood Product;High
407;shagbark hickory;CAOV2;Lumber Product;Yes
407;shagbark hickory;CAOV2;Naval Store Product;Yes
407;shagbark hickory;CAOV2;Nursery Stock Product;No
407;shagbark hickory;CAOV2;Palatable Browse Animal;Low
407;shagbark hickory;CAOV2;Palatable Graze Animal;Low
407;shagbark hickory;CAOV2;Palatable Human;Yes
407;shagbark hickory;CAOV2;Post Product;No
407;shagbark hickory;CAOV2;Pulpwood Product;Yes
407;shagbark hickory;CAOV2;Veneer Product;No
410;sand hickory;CAPA24;NA;NA
408;black hickory;CATE9;NA;NA
6399;fish tail palm;CAMI36;NA;NA
6401;fishtail palm;CAUR3;NA;NA
6402;rabo de ranton;CAAC3;NA;NA
6403;gia verde;CAAR8;Active Growth Period;Year Round
6403;gia verde;CAAR8;Bloat;None
6403;gia verde;CAAR8;Coppice Potential;No
6403;gia verde;CAAR8;Fall Conspicuous;No
6403;gia verde;CAAR8;Fire Resistant;No
6403;gia verde;CAAR8;Flower Color;Yellow
6403;gia verde;CAAR8;Flower Conspicuous;Yes
6403;gia verde;CAAR8;Foliage Color;Green
6403;gia verde;CAAR8;Foliage Texture;Medium
6403;gia verde;CAAR8;Fruit/Seed Color;Red
6403;gia verde;CAAR8;Fruit/Seed Conspicuous;Yes
6403;gia verde;CAAR8;Height at 20 Years, Maximum (feet);23
6403;gia verde;CAAR8;Height, Mature (feet);20.0
6403;gia verde;CAAR8;Known Allelopath;No
6403;gia verde;CAAR8;Leaf Retention;Yes
6403;gia verde;CAAR8;Low Growing Grass;No
6403;gia verde;CAAR8;Nitrogen Fixation;None
6403;gia verde;CAAR8;Resprout Ability;No
6403;gia verde;CAAR8;Adapted to Coarse Textured Soils;Yes
6403;gia verde;CAAR8;Adapted to Fine Textured Soils;No
6403;gia verde;CAAR8;Adapted to Medium Textured Soils;Yes
6403;gia verde;CAAR8;CaCO3 Tolerance;Medium
6403;gia verde;CAAR8;Cold Stratification Required;No
6403;gia verde;CAAR8;Fertility Requirement;Medium
6403;gia verde;CAAR8;Fire Tolerance;Medium
6403;gia verde;CAAR8;Frost Free Days, Minimum;365
6403;gia verde;CAAR8;Hedge Tolerance;Low
6403;gia verde;CAAR8;Planting Density per Acre, Maximum;1280
6403;gia verde;CAAR8;Planting Density per Acre, Minimum;640
6403;gia verde;CAAR8;Root Depth, Minimum (inches);24
6403;gia verde;CAAR8;Temperature, Minimum (°F);40
6403;gia verde;CAAR8;Fruit/Seed Period Begin;Year Round
6403;gia verde;CAAR8;Fruit/Seed Period End;Year Round
6403;gia verde;CAAR8;Fruit/Seed Persistence;Yes
6403;gia verde;CAAR8;Propagated by Bare Root;No
6403;gia verde;CAAR8;Propagated by Bulb;No
6403;gia verde;CAAR8;Propagated by Container;No
6403;gia verde;CAAR8;Propagated by Corm;No
6403;gia verde;CAAR8;Propagated by Cuttings;No
6403;gia verde;CAAR8;Propagated by Seed;Yes
6403;gia verde;CAAR8;Propagated by Sod;No
6403;gia verde;CAAR8;Propagated by Sprigs;No
6403;gia verde;CAAR8;Propagated by Tubers;No
6403;gia verde;CAAR8;Small Grain;No
6403;gia verde;CAAR8;Berry/Nut/Seed Product;No
6403;gia verde;CAAR8;Christmas Tree Product;No
6403;gia verde;CAAR8;Fodder Product;No
6403;gia verde;CAAR8;Lumber Product;No
6403;gia verde;CAAR8;Naval Store Product;No
6403;gia verde;CAAR8;Nursery Stock Product;No
6403;gia verde;CAAR8;Palatable Human;No
6403;gia verde;CAAR8;Post Product;Yes
6403;gia verde;CAAR8;Pulpwood Product;No
6403;gia verde;CAAR8;Veneer Product;No
6405;keuert;CACA28;NA;NA
6406;wild honeytree;CADE11;NA;NA
6407;Guyanese wild coffee;CAGU2;NA;NA
6410;crackopen;CASY2;NA;NA
6415;golden shower;CAFI3;NA;NA
6417;pink shower;CAGR11;NA;NA
6418;apple blossom;CAJA3;NA;NA
6419;gold medallion tree;CALE49;NA;NA
6425;marbletree;CAXY;NA;NA
6427;goatwood;CAGU3;NA;NA
5401;Japanese chestnut;CACR27;NA;NA
421;American chestnut;CADE12;Active Growth Period;Spring
421;American chestnut;CADE12;Bloat;Low
421;American chestnut;CADE12;C:N Ratio;Low
421;American chestnut;CADE12;Coppice Potential;Yes
421;American chestnut;CADE12;Fall Conspicuous;Yes
421;American chestnut;CADE12;Fire Resistant;No
421;American chestnut;CADE12;Flower Color;White
421;American chestnut;CADE12;Flower Conspicuous;No
421;American chestnut;CADE12;Foliage Color;Yellow-Green
421;American chestnut;CADE12;Foliage Porosity Summer;Dense
421;American chestnut;CADE12;Foliage Porosity Winter;Porous
421;American chestnut;CADE12;Foliage Texture;Coarse
421;American chestnut;CADE12;Fruit/Seed Color;Brown
421;American chestnut;CADE12;Fruit/Seed Conspicuous;Yes
421;American chestnut;CADE12;Growth Form;Single Stem
421;American chestnut;CADE12;Growth Rate;Rapid
421;American chestnut;CADE12;Height at 20 Years, Maximum (feet);35
421;American chestnut;CADE12;Height, Mature (feet);115.0
421;American chestnut;CADE12;Known Allelopath;No
421;American chestnut;CADE12;Leaf Retention;No
421;American chestnut;CADE12;Lifespan;Long
421;American chestnut;CADE12;Low Growing Grass;No
421;American chestnut;CADE12;Nitrogen Fixation;None
421;American chestnut;CADE12;Resprout Ability;Yes
421;American chestnut;CADE12;Shape and Orientation;Erect
421;American chestnut;CADE12;Toxicity;None
421;American chestnut;CADE12;Adapted to Coarse Textured Soils;No
421;American chestnut;CADE12;Adapted to Fine Textured Soils;No
421;American chestnut;CADE12;Adapted to Medium Textured Soils;Yes
421;American chestnut;CADE12;Anaerobic Tolerance;None
421;American chestnut;CADE12;CaCO3 Tolerance;None
421;American chestnut;CADE12;Cold Stratification Required;Yes
421;American chestnut;CADE12;Drought Tolerance;Medium
421;American chestnut;CADE12;Fertility Requirement;Medium
421;American chestnut;CADE12;Fire Tolerance;None
421;American chestnut;CADE12;Frost Free Days, Minimum;150
421;American chestnut;CADE12;Hedge Tolerance;None
421;American chestnut;CADE12;Moisture Use;Medium
421;American chestnut;CADE12;pH, Maximum;6.5
421;American chestnut;CADE12;pH, Minimum;5.5
421;American chestnut;CADE12;Planting Density per Acre, Maximum;300
421;American chestnut;CADE12;Planting Density per Acre, Minimum;170
421;American chestnut;CADE12;Precipitation, Maximum;60
421;American chestnut;CADE12;Precipitation, Minimum;35
421;American chestnut;CADE12;Root Depth, Minimum (inches);20
421;American chestnut;CADE12;Salinity Tolerance;None
421;American chestnut;CADE12;Shade Tolerance;Intolerant
421;American chestnut;CADE12;Temperature, Minimum (°F);-33
421;American chestnut;CADE12;Bloom Period;Early Summer
421;American chestnut;CADE12;Commercial Availability;Field Collections Only
421;American chestnut;CADE12;Fruit/Seed Abundance;Medium
421;American chestnut;CADE12;Fruit/Seed Period Begin;Summer
421;American chestnut;CADE12;Fruit/Seed Period End;Fall
421;American chestnut;CADE12;Fruit/Seed Persistence;Yes
421;American chestnut;CADE12;Propagated by Bare Root;Yes
421;American chestnut;CADE12;Propagated by Bulb;No
421;American chestnut;CADE12;Propagated by Container;Yes
421;American chestnut;CADE12;Propagated by Corm;No
421;American chestnut;CADE12;Propagated by Cuttings;No
421;American chestnut;CADE12;Propagated by Seed;Yes
421;American chestnut;CADE12;Propagated by Sod;No
421;American chestnut;CADE12;Propagated by Sprigs;No
421;American chestnut;CADE12;Propagated by Tubers;No
421;American chestnut;CADE12;Seed per Pound;100
421;American chestnut;CADE12;Seed Spread Rate;None
421;American chestnut;CADE12;Seedling Vigor;High
421;American chestnut;CADE12;Small Grain;No
421;American chestnut;CADE12;Vegetative Spread Rate;None
421;American chestnut;CADE12;Berry/Nut/Seed Product;Yes
421;American chestnut;CADE12;Christmas Tree Product;No
421;American chestnut;CADE12;Fodder Product;No
421;American chestnut;CADE12;Fuelwood Product;High
421;American chestnut;CADE12;Lumber Product;Yes
421;American chestnut;CADE12;Naval Store Product;No
421;American chestnut;CADE12;Nursery Stock Product;Yes
421;American chestnut;CADE12;Palatable Browse Animal;Low
421;American chestnut;CADE12;Palatable Graze Animal;Low
421;American chestnut;CADE12;Palatable Human;Yes
421;American chestnut;CADE12;Post Product;Yes
421;American chestnut;CADE12;Protein Potential;Low
421;American chestnut;CADE12;Pulpwood Product;Yes
421;American chestnut;CADE12;Veneer Product;Yes
424;Chinese chestnut;CAMO83;Active Growth Period;Spring and Summer
424;Chinese chestnut;CAMO83;Bloat;None
424;Chinese chestnut;CAMO83;Coppice Potential;No
